Title,Company,Year,Time,Language,Budget,Box office,IMDB,Meta,RT
Pinocchio,Walt Disney Productions,1940,88.0,English,2600000.0,164000000.0,7.4,99.0,100%
Fantasia,Walt Disney Productions,1940,126.0,English,2280000.0,83300000.0,7.8,96.0,95%
Dumbo,Walt Disney Productions,1941,64.0,English,950000.0,1300000.0,7.2,96.0,98%
Bambi,Walt Disney Productions,1942,70.0,English,858000.0,267400000.0,7.3,91.0,90%
Make Mine Music,Walt Disney Productions,1946,75.0,English,1350000.0,3275000.0,6.3,60.0,70%
Song of the South,Walt Disney Productions,1946,94.0,English,2125000.0,65000000.0,7.1,54.0,50%
Melody Time,Walt Disney Productions,1948,75.0,English,1500000.0,2560000.0,6.4,69.0,80%
Cinderella,Walt Disney Productions,1950,74.0,English,2900000.0,263600000.00000003,6.9,67.0,84%
Alice in Wonderland,Walt Disney Productions,1951,75.0,English,3000000.0,5600000.0,6.4,53.0,51%
Peter Pan,Walt Disney Productions,1953,77.0,English,4000000.0,87400000.0,7.3,76.0,81%
The Living Desert,Walt Disney Productions,1953,69.0,English,300000.0,2600000.0,7.5,69.0,74%
"20,000 Leagues Under the Sea",Walt Disney Productions,1954,127.0,English,5000000.0,28200000.0,7.2,83.0,89%
Lady and the Tramp,Walt Disney Productions,1955,76.0,English,4000000.0,187000000.0,7.3,78.0,93%
Sleeping Beauty,Walt Disney Productions,1959,75.0,English,6000000.0,51600000.0,7.2,85.0,89%
The Shaggy Dog,Walt Disney Productions,1959,104.0,English,1000000.0,12300000.0,4.4,43.0,26%
Swiss Family Robinson,Walt Disney Productions,1960,126.0,English,4000000.0,40000000.0,7.2,61.0,82%
One Hundred and One Dalmatians,Walt Disney Productions,1961,79.0,English,3600000.0,303000000.0,7.2,83.0,98%
Babes in Toyland,Walt Disney Productions,1961,105.0,English,3000000.0,4600000.0,6.3,55.0,36%
The Sword in the Stone,Walt Disney Productions,1963,79.0,English,3000000.0,22200000.0,7.2,61.0,66%
Mary Poppins,Walt Disney Productions,1964,139.0,English,4400000.0,103100000.0,7.8,88.0,100%
The Jungle Book,Walt Disney Productions,1967,78.0,English,4000000.0,378000000.0,7.4,77.0,94%
The Love Bug,Walt Disney Productions,1968,108.0,English,5000000.0,51264000.0,6.5,48.0,76%
The Aristocats,Walt Disney Productions,1970,79.0,English,4000000.0,191000000.0,7.1,66.0,64%
Bedknobs and Broomsticks,Walt Disney Productions,1971,118.0,English,6300000.0,17900000.0,7.1,59.0,66%
Robin Hood,Walt Disney Productions,1973,83.0,English,5000000.0,32000000.0,6.6,53.0,43%
Freaky Friday,Walt Disney Productions,1976,95.0,English,5000000.0,36000000.0,6.2,70.0,88%
The Rescuers,Walt Disney Productions,1977,77.0,English,7500000.0,169000000.0,6.9,74.0,81%
Pete's Dragon,Walt Disney Productions,1977,128.0,English,10000000.0,36.0,6.7,71.0,88%
The Black Hole,Walt Disney Productions,1979,98.0,English,20000000.0,35800000.0,6.0,52.0,38%
Popeye,"['Paramount Pictures', 'Walt Disney Productions', 'Robert Evans Productions', 'King Features Entertainment']",1980,114.0,English,20000000.0,60000000.0,5.3,64.0,59%
Dragonslayer,"['Paramount Pictures', 'Walt Disney Productions']",1981,109.0,English,18000000.0,14100000.0,6.7,68.0,84%
The Fox and the Hound,Walt Disney Productions,1981,83.0,English,12000000.0,63500000.0,7.3,65.0,70%
