year,host_country,host_city,country,gold,silver,bronze
2020,Japan,Tokyo,Argentina,0,1,2
2020,Japan,Tokyo,Armenia,0,2,2
2020,Japan,Tokyo,Australia,17,7,22
2020,Japan,Tokyo,Austria,1,1,5
2020,Japan,Tokyo,Azerbaijan,0,3,4
2020,Japan,Tokyo,Bahamas,2,0,0
2020,Japan,Tokyo,Bahrain,0,1,0
2020,Japan,Tokyo,Belarus,1,3,3
2020,Japan,Tokyo,Belgium,3,1,3
2020,Japan,Tokyo,Bermuda,1,0,0
2020,Japan,Tokyo,Botswana,0,0,1
2020,Japan,Tokyo,Brazil,7,6,8
2020,Japan,Tokyo,Bulgaria,3,1,2
2020,Japan,Tokyo,Burkina Faso,0,0,1
2020,Japan,Tokyo,Canada,7,7,10
2020,Japan,Tokyo,Chinese Taipei,2,4,6
2020,Japan,Tokyo,Colombia,0,4,1
2020,Japan,Tokyo,Croatia,3,3,2
2020,Japan,Tokyo,Cuba,7,3,5
2020,Japan,Tokyo,Czechia,4,4,3
2020,Japan,Tokyo,Côte d'Ivoire,0,0,1
2020,Japan,Tokyo,Denmark,3,4,4
2020,Japan,Tokyo,Dominican Republic,0,3,2
2020,Japan,Tokyo,Ecuador,2,1,0
2020,Japan,Tokyo,Egypt,1,1,4
2020,Japan,Tokyo,Estonia,1,0,1
2020,Japan,Tokyo,Ethiopia,1,1,2
2020,Japan,Tokyo,Fiji,1,0,1
2020,Japan,Tokyo,Finland,0,0,2
2020,Japan,Tokyo,France,10,12,11
2020,Japan,Tokyo,Georgia,2,5,1
2020,Japan,Tokyo,Germany,10,11,16
2020,Japan,Tokyo,Ghana,0,0,1
2020,Japan,Tokyo,Greece,2,1,1
2020,Japan,Tokyo,Grenada,0,0,1
2020,Japan,Tokyo,"Hong Kong, China",1,2,3
2020,Japan,Tokyo,Hungary,6,7,7
2020,Japan,Tokyo,India,1,2,4
2020,Japan,Tokyo,Indonesia,1,1,3
2020,Japan,Tokyo,Ireland,2,0,2
2020,Japan,Tokyo,Islamic Republic of Iran,3,2,2
2020,Japan,Tokyo,Israel,2,0,2
2020,Japan,Tokyo,Italy,10,10,20
2020,Japan,Tokyo,Jamaica,4,1,4
2020,Japan,Tokyo,Japan,27,14,17
2020,Japan,Tokyo,Jordan,0,1,1
2020,Japan,Tokyo,Kazakhstan,0,0,8
2020,Japan,Tokyo,Kenya,4,4,2
2020,Japan,Tokyo,Kosovo,2,0,0
2020,Japan,Tokyo,Kuwait,0,0,1
2020,Japan,Tokyo,Kyrgyzstan,0,2,1
2020,Japan,Tokyo,Latvia,1,0,1
2020,Japan,Tokyo,Lithuania,0,1,0
2020,Japan,Tokyo,Malaysia,0,1,1
2020,Japan,Tokyo,Mexico,0,0,4
2020,Japan,Tokyo,Moldova,0,0,1
2020,Japan,Tokyo,Mongolia,0,1,3
2020,Japan,Tokyo,Morocco,1,0,0
2020,Japan,Tokyo,Namibia,0,1,0
2020,Japan,Tokyo,Netherlands,10,12,14
2020,Japan,Tokyo,New Zealand,7,6,7
2020,Japan,Tokyo,Nigeria,0,1,1
2020,Japan,Tokyo,North Macedonia,0,1,0
2020,Japan,Tokyo,Norway,4,2,2
2020,Japan,Tokyo,People's Republic of China,38,32,19
2020,Japan,Tokyo,Philippines,1,2,1
2020,Japan,Tokyo,Poland,4,5,5
2020,Japan,Tokyo,Portugal,1,1,2
2020,Japan,Tokyo,Puerto Rico,1,0,0
2020,Japan,Tokyo,Qatar,2,0,1
2020,Japan,Tokyo,ROC,20,28,23
2020,Japan,Tokyo,Republic of Korea,6,4,10
2020,Japan,Tokyo,Romania,1,3,0
2020,Japan,Tokyo,San Marino,0,1,2
2020,Japan,Tokyo,Saudi Arabia,0,1,0
2020,Japan,Tokyo,Serbia,3,1,5
2020,Japan,Tokyo,Slovakia,1,2,1
2020,Japan,Tokyo,Slovenia,3,1,1
2020,Japan,Tokyo,South Africa,1,2,0
2020,Japan,Tokyo,Spain,3,8,6
2020,Japan,Tokyo,Sweden,3,6,0
2020,Japan,Tokyo,Switzerland,3,4,6
2020,Japan,Tokyo,Syrian Arab Republic,0,0,1
2020,Japan,Tokyo,Thailand,1,0,1
2020,Japan,Tokyo,Tunisia,1,1,0
2020,Japan,Tokyo,Turkey,2,2,9
2020,Japan,Tokyo,Turkmenistan,0,1,0
