year,host_country,host_city,country,gold,silver,bronze
2022,China,Beijing,Australia,1,2,1
2022,China,Beijing,Austria,7,7,4
2022,China,Beijing,Belarus,0,2,0
2022,China,Beijing,Belgium,1,0,1
2022,China,Beijing,Canada,4,8,14
2022,China,Beijing,Czechia,1,0,1
2022,China,Beijing,Estonia,0,0,1
2022,China,Beijing,Finland,2,2,4
2022,China,Beijing,France,5,7,2
2022,China,Beijing,Germany,12,10,5
2022,China,Beijing,Hungary,1,0,2
2022,China,Beijing,Italy,2,7,8
2022,China,Beijing,Japan,3,6,9
2022,China,Beijing,Latvia,0,0,1
2022,China,Beijing,Netherlands,8,5,4
2022,China,Beijing,New Zealand,2,1,0
2022,China,Beijing,Norway,16,8,13
2022,China,Beijing,People's Republic of China,9,4,2
2022,China,Beijing,Poland,0,0,1
2022,China,Beijing,ROC,6,12,14
2022,China,Beijing,Republic of Korea,2,5,2
2022,China,Beijing,Slovakia,1,0,1
2022,China,Beijing,Slovenia,2,3,2
2022,China,Beijing,Spain,0,1,0
2022,China,Beijing,Sweden,8,5,5
2022,China,Beijing,Switzerland,7,2,6
2022,China,Beijing,Ukraine,0,1,0
2022,China,Beijing,United Kingdom,1,1,0
2022,China,Beijing,United States of America,8,10,7
2018,Republic of Korea,PyeongChang,Australia,0,2,1
2018,Republic of Korea,PyeongChang,Austria,5,3,6
2018,Republic of Korea,PyeongChang,Belarus,2,1,0
2018,Republic of Korea,PyeongChang,Belgium,0,1,0
2018,Republic of Korea,PyeongChang,Canada,11,8,10
2018,Republic of Korea,PyeongChang,Czechia,2,2,3
2018,Republic of Korea,PyeongChang,Finland,1,1,4
2018,Republic of Korea,PyeongChang,France,5,4,6
2018,Republic of Korea,PyeongChang,Germany,14,10,7
2018,Republic of Korea,PyeongChang,Hungary,1,0,0
2018,Republic of Korea,PyeongChang,Italy,3,2,5
2018,Republic of Korea,PyeongChang,Japan,4,5,4
2018,Republic of Korea,PyeongChang,Kazakhstan,0,0,1
2018,Republic of Korea,PyeongChang,Latvia,0,0,1
2018,Republic of Korea,PyeongChang,Liechtenstein,0,0,1
2018,Republic of Korea,PyeongChang,Netherlands,8,6,6
2018,Republic of Korea,PyeongChang,New Zealand,0,0,2
2018,Republic of Korea,PyeongChang,Norway,14,14,11
2018,Republic of Korea,PyeongChang,People's Republic of China,1,6,2
2018,Republic of Korea,PyeongChang,Poland,1,0,1
2018,Republic of Korea,PyeongChang,ROC,2,6,9
2018,Republic of Korea,PyeongChang,Republic of Korea,5,8,4
2018,Republic of Korea,PyeongChang,Slovakia,1,2,0
2018,Republic of Korea,PyeongChang,Slovenia,0,1,1
2018,Republic of Korea,PyeongChang,Spain,0,0,2
2018,Republic of Korea,PyeongChang,Sweden,7,6,1
2018,Republic of Korea,PyeongChang,Switzerland,5,6,4
2018,Republic of Korea,PyeongChang,Ukraine,1,0,0
2018,Republic of Korea,PyeongChang,United Kingdom,1,0,4
2018,Republic of Korea,PyeongChang,United States of America,9,8,6
2014,Russian Federation,Sochi,Australia,0,2,1
2014,Russian Federation,Sochi,Austria,4,8,5
2014,Russian Federation,Sochi,Belarus,5,0,1
2014,Russian Federation,Sochi,Canada,10,10,5
2014,Russian Federation,Sochi,Croatia,0,1,0
2014,Russian Federation,Sochi,Czechia,2,4,3
2014,Russian Federation,Sochi,Finland,1,3,1
2014,Russian Federation,Sochi,France,4,4,7
2014,Russian Federation,Sochi,Germany,8,6,5
2014,Russian Federation,Sochi,Italy,0,2,6
2014,Russian Federation,Sochi,Japan,1,4,3
2014,Russian Federation,Sochi,Kazakhstan,0,0,1
2014,Russian Federation,Sochi,Latvia,1,1,3
2014,Russian Federation,Sochi,Netherlands,8,7,9
2014,Russian Federation,Sochi,Norway,11,6,9
2014,Russian Federation,Sochi,People's Republic of China,3,4,2
2014,Russian Federation,Sochi,Poland,4,1,1
2014,Russian Federation,Sochi,Republic of Korea,3,3,2
2014,Russian Federation,Sochi,Russian Federation,10,10,9
2014,Russian Federation,Sochi,Slovakia,1,0,0
2014,Russian Federation,Sochi,Slovenia,2,2,4
2014,Russian Federation,Sochi,Sweden,2,7,6
2014,Russian Federation,Sochi,Switzerland,7,2,2
2014,Russian Federation,Sochi,Ukraine,1,0,1
2014,Russian Federation,Sochi,United Kingdom,1,1,3
2014,Russian Federation,Sochi,United States of America,9,9,10
2010,Canada,Vancouver,Australia,2,1,0
2010,Canada,Vancouver,Austria,4,6,6
2010,Canada,Vancouver,Belarus,1,1,1
2010,Canada,Vancouver,Canada,14,7,5
2010,Canada,Vancouver,Croatia,0,2,1
2010,Canada,Vancouver,Czechia,2,0,4
2010,Canada,Vancouver,Estonia,0,1,0
2010,Canada,Vancouver,Finland,0,1,4
2010,Canada,Vancouver,France,2,3,6
2010,Canada,Vancouver,Germany,10,13,7
2010,Canada,Vancouver,Italy,1,1,3
2010,Canada,Vancouver,Japan,0,3,2
2010,Canada,Vancouver,Kazakhstan,0,1,0
2010,Canada,Vancouver,Latvia,0,2,0
2010,Canada,Vancouver,Netherlands,4,1,3
2010,Canada,Vancouver,Norway,9,8,6
2010,Canada,Vancouver,People's Republic of China,5,2,4
2010,Canada,Vancouver,Poland,1,3,2
2010,Canada,Vancouver,Republic of Korea,6,6,2
2010,Canada,Vancouver,Russian Federation,3,5,7
2010,Canada,Vancouver,Slovakia,1,1,1
2010,Canada,Vancouver,Slovenia,0,2,1
2010,Canada,Vancouver,Sweden,5,2,4
2010,Canada,Vancouver,Switzerland,6,0,3
2010,Canada,Vancouver,United Kingdom,1,0,0
2010,Canada,Vancouver,United States of America,9,15,13
2006,Italy,Turin,Australia,1,0,1
2006,Italy,Turin,Austria,9,7,7
2006,Italy,Turin,Belarus,0,1,0
2006,Italy,Turin,Bulgaria,0,1,0
2006,Italy,Turin,Canada,7,10,7
2006,Italy,Turin,Croatia,1,2,0
2006,Italy,Turin,Czechia,1,2,1
2006,Italy,Turin,Estonia,3,0,0
2006,Italy,Turin,Finland,0,6,3
2006,Italy,Turin,France,3,2,4
2006,Italy,Turin,Germany,11,12,6
2006,Italy,Turin,Italy,5,0,6
2006,Italy,Turin,Japan,1,0,0
2006,Italy,Turin,Latvia,0,0,1
2006,Italy,Turin,Netherlands,3,2,4
2006,Italy,Turin,Norway,2,8,9
2006,Italy,Turin,People's Republic of China,2,4,5
2006,Italy,Turin,Poland,0,1,1
2006,Italy,Turin,Republic of Korea,6,3,2
2006,Italy,Turin,Russian Federation,8,6,8
2006,Italy,Turin,Slovakia,0,1,0
2006,Italy,Turin,Sweden,7,2,5
2006,Italy,Turin,Switzerland,5,4,5
2006,Italy,Turin,Ukraine,0,0,2
2006,Italy,Turin,United Kingdom,0,1,0
2006,Italy,Turin,United States of America,9,9,7
2002,United States,Salt Lake City,Australia,2,0,0
2002,United States,Salt Lake City,Austria,3,4,10
2002,United States,Salt Lake City,Belarus,0,0,1
2002,United States,Salt Lake City,Bulgaria,0,1,2
2002,United States,Salt Lake City,Canada,7,3,7
2002,United States,Salt Lake City,Croatia,3,1,0
2002,United States,Salt Lake City,Czechia,1,2,0
2002,United States,Salt Lake City,Estonia,1,1,1
2002,United States,Salt Lake City,Finland,4,2,1
2002,United States,Salt Lake City,France,4,5,2
2002,United States,Salt Lake City,Germany,12,16,8
2002,United States,Salt Lake City,Italy,4,4,5
2002,United States,Salt Lake City,Japan,0,1,1
2002,United States,Salt Lake City,Netherlands,3,5,0
2002,United States,Salt Lake City,Norway,13,5,7
2002,United States,Salt Lake City,People's Republic of China,2,2,4
2002,United States,Salt Lake City,Poland,0,1,1
2002,United States,Salt Lake City,Republic of Korea,2,2,0
2002,United States,Salt Lake City,Russian Federation,5,4,4
2002,United States,Salt Lake City,Slovenia,0,0,1
2002,United States,Salt Lake City,Sweden,0,2,5
2002,United States,Salt Lake City,Switzerland,3,2,6
2002,United States,Salt Lake City,United Kingdom,1,0,1
2002,United States,Salt Lake City,United States of America,10,13,11
1998,Japan,Nagano,Australia,0,0,1
1998,Japan,Nagano,Austria,3,5,9
1998,Japan,Nagano,Belarus,0,0,2
1998,Japan,Nagano,Belgium,0,0,1
1998,Japan,Nagano,Bulgaria,1,0,0
1998,Japan,Nagano,Canada,6,5,4
1998,Japan,Nagano,Czechia,1,1,1
1998,Japan,Nagano,Denmark,0,1,0
1998,Japan,Nagano,Finland,2,4,6
1998,Japan,Nagano,France,2,1,5
1998,Japan,Nagano,Germany,12,9,8
1998,Japan,Nagano,Italy,2,6,2
1998,Japan,Nagano,Japan,5,1,4
1998,Japan,Nagano,Kazakhstan,0,0,2
1998,Japan,Nagano,Netherlands,5,4,2
1998,Japan,Nagano,Norway,10,10,5
1998,Japan,Nagano,People's Republic of China,0,6,2
1998,Japan,Nagano,Republic of Korea,3,1,2
1998,Japan,Nagano,Russian Federation,9,6,3
1998,Japan,Nagano,Sweden,0,2,1
1998,Japan,Nagano,Switzerland,2,2,3
1998,Japan,Nagano,Ukraine,0,1,0
1998,Japan,Nagano,United Kingdom,0,0,1
1998,Japan,Nagano,United States of America,6,3,4
1994,Norway,Lillehammer,Australia,0,0,1
1994,Norway,Lillehammer,Austria,2,3,4
1994,Norway,Lillehammer,Belarus,0,2,0
1994,Norway,Lillehammer,Canada,3,6,4
1994,Norway,Lillehammer,Finland,0,1,5
1994,Norway,Lillehammer,France,0,1,4
1994,Norway,Lillehammer,Germany,9,7,8
1994,Norway,Lillehammer,Italy,7,5,8
1994,Norway,Lillehammer,Japan,1,2,2
1994,Norway,Lillehammer,Kazakhstan,1,2,0
1994,Norway,Lillehammer,Netherlands,0,1,3
1994,Norway,Lillehammer,Norway,10,11,5
1994,Norway,Lillehammer,People's Republic of China,0,1,2
1994,Norway,Lillehammer,Republic of Korea,4,1,1
1994,Norway,Lillehammer,Russian Federation,11,8,4
1994,Norway,Lillehammer,Slovenia,0,0,3
1994,Norway,Lillehammer,Sweden,2,1,0
1994,Norway,Lillehammer,Switzerland,3,4,2
1994,Norway,Lillehammer,Ukraine,1,0,1
